order_id,date,region,category,amount,quantity
R00172,2026-05-18,West,Books,583.79,2
R00173,2026-05-23,East,Home,168.76,2
R00174,2026-06-17,West,Clothing,249.4,7
R00175,2026-05-08,West,Sports,546.69,5
R00176,2026-05-03,East,Sports,202.03,6
R00177,2026-06-08,North,Electronics,30.45,3
R00178,2026-05-29,West,Electronics,110.32,2
R00179,2026-05-26,South,Sports,591.74,7
R00180,2026-05-03,North,Electronics,724.66,1
R00181,2026-05-28,East,Clothing,84.88,2
R00182,2026-05-05,North,Electronics,518.74,2
R00183,2026-05-10,South,Clothing,330.54,4
R00184,2026-06-11,East,Clothing,724.02,8
R00185,2026-05-26,South,Sports,585.35,4
R00186,2026-05-19,East,Clothing,135.82,1
R00187,2026-05-31,West,Sports,543.84,5
R00188,2026-06-22,North,Electronics,27.11,8
R00189,2026-05-26,West,Sports,236.38,7
R00190,2026-06-08,East,Home,297.72,6
R00191,2026-05-15,West,Electronics,223.3,7
R00192,2026-05-31,West,Electronics,374.32,4
R00193,2026-05-03,North,Home,296.44,6
R00194,2026-06-24,South,Home,463.56,6
R00195,2026-06-06,West,Home,690.94,7
R00196,2026-06-21,West,Books,139.36,1
R00197,2026-06-22,East,Sports,267.76,5
R00198,2026-06-11,North,Clothing,783.12,3
R00199,2026-06-26,East,Books,656.92,5
R00200,2026-05-02,South,Electronics,,6
R00201,2026-06-14,North,Home,561.19,4
R00202,2026-06-14,West,Home,439.27,8
R00203,2026-06-15,West,Sports,699.88,7
R00204,2026-06-16,West,Home,94.9,5
R00205,2026-05-01,South,Sports,68.64,1
R00206,2026-06-11,West,Clothing,62.95,8
R00207,2026-05-09,South,Books,553.9,2
R00208,2026-06-24,East,Clothing,177.5,7
R00209,2026-06-09,North,Books,112.22,6
R00210,2026-06-29,West,Clothing,100.89,1
R00211,2026-05-16,East,Sports,502.62,7
R00212,2026-06-21,West,Electronics,533.98,1
R00213,2026-05-19,East,Sports,33.78,2
R00214,2026-05-15,West,Electronics,93.7,3
R00215,2026-05-20,North,Home,548.85,7
R00216,2026-05-26,North,Home,603.2,4
R00217,2026-06-18,East,Clothing,690.38,7
R00218,2026-06-18,South,Clothing,17.12,1
R00219,2026-06-23,East,Sports,367.23,4
R00220,2026-06-26,South,Home,637.95,1
R00221,2026-06-17,North,Sports,245.47,4
R00222,2026-06-09,West,Sports,606.49,6
R00223,2026-05-01,South,Sports,430.45,4
R00224,2026-05-30,West,Electronics,743.58,2
R00225,2026-06-18,West,Books,133.67,5
R00226,2026-05-24,East,Electronics,547.31,4
R00227,2026-05-15,East,Sports,473.84,4
R00228,2026-06-29,West,Books,309.31,1
R00229,2026-06-27,East,Sports,287.19,1
R00230,2026-05-22,West,Books,46.24,6
R00231,2026-05-01,West,Home,360.48,1
R00232,2026-05-18,East,Home,469.22,8
R00233,2026-05-23,South,Electronics,104.8,4
R00234,2026-05-22,South,Books,339.57,5
R00235,2026-05-18,East,Books,319.96,3
R00236,2026-06-10,East,Electronics,662.98,3
R00237,2026-05-29,West,Electronics,296.9,8
R00238,2026-05-29,East,Home,563.86,6
R00239,2026-05-22,North,Books,26.96,5
R00240,2026-05-30,West,Sports,393.79,5
R00241,2026-06-12,West,Home,223.34,7
R00242,2026-06-17,East,Electronics,500.94,1
R00243,2026-06-26,West,Books,299.25,5
R00244,2026-05-05,West,Sports,548.23,5
R00245,2026-06-03,South,Books,730.69,2
R00246,2026-06-26,North,Clothing,465.81,5
R00247,2026-05-27,North,Home,32.19,8
R00248,2026-05-19,West,Clothing,619.43,8
R00249,2026-05-26,South,Clothing,156.77,3
R00250,2026-06-14,North,Home,484.8,6
R00251,2026-05-02,,Books,513.02,3
R00252,2026-06-07,South,Books,177.47,2
R00253,2026-06-27,East,Clothing,262.63,1
R00254,2026-06-20,East,Books,777.34,8
R00255,2026-06-23,South,Clothing,19.05,2
R00256,2026-05-12,North,Clothing,351.25,3
R00257,2026-06-11,East,Home,275.41,8
R00258,2026-06-09,West,Sports,275.82,2
R00259,2026-05-01,East,Clothing,492.81,5
R00260,2026-05-11,North,Home,753.32,3
R00261,2026-06-08,North,Electronics,256.21,7
R00262,2026-06-28,East,Books,429.65,7
R00263,2026-06-02,South,Electronics,592.76,3
R00264,2026-06-20,North,Sports,343.22,7
R00265,2026-05-15,West,Home,72.36,5
R00266,2026-05-03,North,Electronics,660.62,1
R00267,2026-06-25,East,Books,397.67,4
R00268,2026-05-29,East,Clothing,764.49,3
R00269,2026-06-22,North,Electronics,342.66,6
R00270,2026-05-21,North,Electronics,369.71,2
R00271,2026-05-06,South,Clothing,798.56,3
R00272,2026-06-08,South,Electronics,400.73,3
R00273,2026-05-08,East,Sports,386.9,5
R00274,2026-05-04,West,Clothing,205.2,4
R00275,2026-06-21,South,Electronics,280.81,6
R00276,2026-05-30,South,Sports,716.89,7
R00277,2026-06-11,East,Home,497.85,5
R00278,2026-06-27,South,Sports,799.66,7
R00279,2026-06-23,West,Electronics,709.32,3
R00280,2026-05-24,East,Clothing,777.5,8
R00281,2026-06-11,West,Home,207.42,8
R00282,2026-06-22,East,Books,690.42,8
R00283,2026-06-09,North,Sports,644.62,8
R00284,2026-05-26,South,Home,645.47,6
R00285,2026-05-11,East,Clothing,34.35,8
R00286,2026-06-20,East,Books,284.87,8
R00287,2026-05-03,East,Sports,388.56,1
R00288,2026-05-26,East,Books,73.61,8
R00289,2026-05-04,East,Clothing,477.44,6
R00290,2026-06-23,North,Clothing,331.19,2
R00291,2026-05-25,South,Sports,397.77,7
R00292,2026-05-15,South,Electronics,627.25,6
R00293,2026-06-24,East,Electronics,266.63,5
R00294,2026-05-12,South,Sports,131.99,5
R00295,2026-05-01,South,Sports,748.64,3
R00296,2026-05-17,South,Books,597.78,5
R00297,2026-06-25,North,Home,626.09,1
R00298,2026-05-26,South,Sports,254.27,5
R00299,2026-05-03,West,Clothing,107.8,2
R00300,2026-05-26,North,Sports,147.51,5
R00031,2026-05-14,West,Home,671.28,7
R00031,2026-05-14,West,Home,671.28,7
R00151,2026-05-07,West,Clothing,798.22,7
